Year,Rank,Team,Payroll
2025,1,Los Angeles Dodgers,321000000.0
2025,2,New York Mets,315000000.0
2025,3,Philadelphia Phillies,278000000.0
2025,4,New York Yankees,272000000.0
2025,5,Toronto Blue Jays,233000000.0
2025,6,Texas Rangers,206000000.0
2025,7,Houston Astros,204000000.0
2025,8,Atlanta Braves,202000000.0
2025,9,San Diego Padres,197000000.0
2025,10,Los Angeles Angels,192000000.0
2025,11,Boston Red Sox,184000000.0
2025,12,Chicago Cubs,184000000.0
2025,13,Arizona Diamondbacks,174000000.0
2025,14,San Francisco Giants,158000000.0
2025,15,Baltimore Orioles,150000000.0
2025,16,Seattle Mariners,138000000.0
2025,17,Minnesota Twins,137000000.0
2025,18,Detroit Tigers,131000000.0
2025,19,St. Louis Cardinals,122000000.0
2025,20,Kansas City Royals,113000000.0
2025,21,Colorado Rockies,112000000.0
2025,22,Cincinnati Reds,103000000.0
2025,23,Washington Nationals,100000000.0
2025,24,Milwaukee Brewers,94000000.0
2025,25,Cleveland Guardians,82000000.0
2025,26,Pittsburgh Pirates,75000000.0
2025,27,Tampa Bay Rays,73000000.0
2025,28,Chicago White Sox,59000000.0
2025,29,Oakland Athletics,55000000.0
2025,30,Miami Marlins,47000000.0
2024,1,New York Mets,301731074.0
2024,2,New York Yankees,293666666.0
2024,3,Houston Astros,237303141.0
2024,4,Philadelphia Phillies,236182617.0
2024,5,Atlanta Braves,225315000.0
2024,6,Texas Rangers,221955000.0
2024,7,Toronto Blue Jays,221876784.0
2024,8,Los Angeles Dodgers,220691666.0
2024,9,Chicago Cubs,216330000.0
2024,10,San Francisco Giants,188767909.0
2024,11,St. Louis Cardinals,164301667.0
2024,12,Boston Red Sox,162324847.0
2024,13,Los Angeles Angels,158818094.0
2024,14,Arizona Diamondbacks,156511716.0
2024,15,San Diego Padres,153765453.0
2024,16,Colorado Rockies,134099285.0
2024,17,Seattle Mariners,129158333.0
2024,18,Minnesota Twins,118886590.0
2024,19,Chicago White Sox,117773333.0
2024,20,Kansas City Royals,105219570.0
2024,21,Washington Nationals,95371429.0
2024,22,Detroit Tigers,95073933.0
2024,23,Baltimore Orioles,94495168.0
2024,24,Milwaukee Brewers,94484960.0
2024,25,Cincinnati Reds,88123333.0
2024,26,Tampa Bay Rays,88066012.0
2024,27,Cleveland Guardians,86433928.0
2024,28,Miami Marlins,83710000.0
2024,29,Pittsburgh Pirates,72014000.0
2024,30,Oakland Athletics,47905000.0
2023,1,New York Mets,334233332.0
2023,2,New York Yankees,268954047.0
2023,3,San Diego Padres,236962024.0
2023,4,Philadelphia Phillies,232424939.0
2023,5,Los Angeles Dodgers,218332634.0
2023,6,Toronto Blue Jays,205680777.0
2023,7,Los Angeles Angels,204088094.0
2023,8,Atlanta Braves,199727500.0
2023,9,Texas Rangers,183578160.0
2023,10,Chicago White Sox,180911666.0
2023,11,Houston Astros,180888333.0
2023,12,Chicago Cubs,180115000.0
2023,13,Boston Red Sox,175783182.0
2023,14,San Francisco Giants,175590000.0
2023,15,Colorado Rockies,166250466.0
2023,16,St. Louis Cardinals,147770834.0
2023,17,Minnesota Twins,141271190.0
2023,18,Seattle Mariners,129814047.0
2023,19,Arizona Diamondbacks,112763571.0
2023,20,Milwaukee Brewers,108644960.0
2023,21,Detroit Tigers,105338500.0
2023,22,Cincinnati Reds,86374500.0
2023,23,Miami Marlins,81075000.0
2023,24,Washington Nationals,79983095.0
2023,25,Kansas City Royals,75825000.0
2023,26,Cleveland Guardians,75010000.0
2023,27,Baltimore Orioles,64907966.0
2023,28,Tampa Bay Rays,64652911.0
2023,29,Pittsburgh Pirates,60787500.0
2023,30,Oakland Athletics,43145000.0
2022,1,Los Angeles Dodgers,277108333.0
2022,2,New York Mets,253119999.0
2022,3,New York Yankees,240290714.0
2022,4,Philadelphia Phillies,221738462.0
2022,5,San Diego Padres,208772618.0
2022,6,Boston Red Sox,195166000.0
2022,7,Chicago White Sox,181660734.0
2022,8,Atlanta Braves,173935000.0
2022,9,Los Angeles Angels,169413094.0
2022,10,Toronto Blue Jays,168070905.0
2022,11,Houston Astros,163939599.0
2022,12,St. Louis Cardinals,150746666.0
2022,13,San Francisco Giants,142292500.0
2022,14,Tes Rangers,134961333.0
2022,15,Chicago Cubs,130560000.0
2022,16,Colorado Rockies,129452166.0
2022,17,Milwaukee Brewers,122281128.0
2022,18,Detroit Tigers,116040000.0
2022,19,Washington Nationals,114623095.0
2022,20,Minnesota Twins,110859524.0
2022,21,Cincinnati Reds,99580000.0
2022,22,Seattle Mariners,92745714.0
2022,23,Arizona Diamondbacks,75993333.0
2022,24,Tampa Bay Rays,75347813.0
2022,25,Kansas City Royals,74110000.0
2022,26,Miami Marlins,69000000.0
2022,27,Cleveland Guardians,42310000.0
2022,28,Pittsburgh Pirates,37875000.0
2022,29,Oakland Athletics,32548334.0
2022,30,Baltimore Orioles,30221166.0
2021,1,Los Angeles Dodgers,235412876.0
2021,2,New York Yankees,191205631.0
